,,,,,,,,,,,,,,Classification path,Level 1 label,Level 1 probability,Level 2 label,Level 2 probability
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_BMXVUKryW,Jorge Cruz,1 month ago,1512433161824,Midget Apple We don't ride Unicycles Midget Apple,1,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.457,Empty tweets / Garbage / No sentiments,0.521
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_BMYtKou8Q,Jorge Cruz,1 month ago,1512433161827,Squash Dude your squash,1,/Negative/Anger/,Negative,0.381,Anger,0.341
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_BMl0uhTcf,Jorge Cruz,1 month ago,1512433161830,Annoying Orange Knife?,1,/Negative/Boredom/,Negative,0.399,Boredom,0.218
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_BbI8rNueA,Kelly Latham,1 month ago,1512433161832,"but man.    is   the.     best 
thing.    in.     the.   would",1,/Positive/Fun/,Positive,0.473,Fun,0.277
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_Be9rIh6zz,The Alolan shiny hunter,1 month ago,1512433161834,Kelly Latham buttman *,1,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.446,Empty tweets / Garbage / No sentiments,0.541
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_C0JtKPV8L,Christian Ballard,1 month ago,1512433161838,Myquel Grant Acaylar Hernando,1,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.427,Empty tweets / Garbage / No sentiments,0.527
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_CfEKkLKy2,Sana Shaikh,1 month ago,1512433161840,Myquel Grant Acaylar Hernando w  vc u,1,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.427,Empty tweets / Garbage / No sentiments,0.527
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_EzbrGz1_t,Alex Drake,1 month ago,1512433161843,FAT TURKEY,1,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.38,Empty tweets / Garbage / No sentiments,0.546
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_GZL-wU4p7,strahinja djokic,1 month ago,1512433161845,Albanian?,1,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.427,Empty tweets / Garbage / No sentiments,0.527
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_HIpimydIW,Owen Baldwin,1 month ago,1512433161847,A person that can only fart on their own eyebrows?,1,/Neutral/Surprise/,Neutral,0.471,Surprise,0.667
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_HL1BeMa-z,Nick Griffin,1 month ago,1512433161850,"Are you the President's, dad's, best friend's, uncle's, cell mate's, great great grandma's, dogs dinner?",2,/Positive/Happiness/,Positive,0.713,Happiness,0.333
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_LDoLxulgX,Crying baby Long,1 month ago,1512433161853,Grant Acaylar Hernando,1,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.427,Empty tweets / Garbage / No sentiments,0.527
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_MQa6BlBQm,Michael Chandler,1 month ago,1512433161856,Pilgrim reaper,1,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.425,Empty tweets / Garbage / No sentiments,0.527
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_MSIgHdIwt,Sarah Wittrien,1 month ago,1512433161858,Evil twin of Trump?????? 😂,1,/Positive/Enthusiasm/,Positive,0.382,Enthusiasm,0.265
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_OVZ87pMr9,The Gaming Gecko,1 month ago,1512433161861,Giraffe police officer with an angry prospecter riding on it?,1,/Negative/Hate/,Negative,0.382,Hate,0.245
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_S4sW1dGp1,Cecilio Muñiz Ochoa,1 month ago,1512433161864,Annoying Orange 😱💀😇,1,/Negative/Boredom/,Negative,0.415,Boredom,0.234
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_TVCmWKOot,unboxing things techniques and skills,1 month ago,1512433161866,Annoying Orange yes,1,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.38,Empty tweets / Garbage / No sentiments,0.757
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_UC8QYkzzI,Minion Shadic The Hedgehog Minion Canon Banana,1 month ago,1512433161869,Minions,1,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.427,Empty tweets / Garbage / No sentiments,0.527
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_WBMhN5rI6,Elaina-Louise Smith,1 month ago,1512433161871,Winter[Myquel Grant Acaylar Hernando] gmb,1,/Neutral/Surprise/,Neutral,0.422,Surprise,0.76
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_ewxLx-9e2,呂素如,1 month ago,1512433161874,He is Cute,0,/Positive/Love/,Positive,0.467,Love,0.381
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_ipHp-O5tu,Janice Norwood,1 month ago,1512433161876,Winter[Myquel Grant Acaylar Hernando] hi,0,/Neutral/Surprise/,Neutral,0.683,Surprise,0.654
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_lK55LpHsX,Connor Quante,1 month ago,1512433161878,eggman,0,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.427,Empty tweets / Garbage / No sentiments,0.527
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8_tHaqoHpfz,Noah Beecher,4 weeks ago,1512692361881,Butt bomb,0,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.422,Empty tweets / Garbage / No sentiments,0.545
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8a1fwQm_c8g,Принцесса София,3 weeks ago,1513297161883,"Winter[Myquel Grant Acaylar Hernando] тролингизйжёэхж  habsdfdjcygdjguckujshgj the cidchucewksudusfjuerruuwkdoyydduihkgiiryfuygihkdhcjvfutytisldhyfueihrvhesxurjfksisefottooueywjdyspdoullpp  ^$$$$$$$$994$475&584*4&4^$474834875558577&4##001234676890,1пййэйзкелцоукпп",0,/Positive/Fun/,Positive,0.366,Fun,0.264
,,,,,,,,Ugy2wokL9inpkyX_KWd4AaABAg.8_4Olqkq4rX8arv2BsoAW2,Harmoni Jarvis,3 days ago,1514852361886,passion fruit i love you orange,0,/Positive/Love/,Positive,0.51,Love,0.652
UgxKCAULynr6phCOKKF4AaABAg,Charlin Granda,4 hours ago,1515097160184,Hahahahahahaha,0,false,0,,,,,,,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.427,Empty tweets / Garbage / No sentiments,0.527
UgwnBxzVr4QBCvyQoId4AaABAg,Charlin Granda,4 hours ago,1515097160188,Hahahah,0,false,0,,,,,,,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.427,Empty tweets / Garbage / No sentiments,0.527
Ugwz8Q9Mt0IjJOODnZF4AaABAg,Cassius XD,19 hours ago,1515043160191,sounds like orange is eating me,0,false,0,,,,,,,/Negative/Worry/,Negative,0.358,Worry,0.236
UgwaKOfY8uOf-VtWiyx4AaABAg,Mister T,1 day ago,1515025160194,"It's days like these where I sit back, enjoy videos like these, and wonder what I am doing with my life. Great Work!",0,false,0,,,,,,,/Positive/Happiness/,Positive,0.577,Happiness,0.304
UgyLRbgZfuGEwD0F6094AaABAg,Bill Cypher,3 days ago,1514852360197,Mine is cranberry sauce jellied,0,false,0,,,,,,,/Neutral/Surprise/,Neutral,0.418,Surprise,0.58
UgzaaQ-vLZS3ExjemDd4AaABAg,Cool Robert,4 days ago,1514765960200,Orange has become an Idiot!,0,false,0,,,,,,,/Neutral/Surprise/,Neutral,0.511,Surprise,0.742
UgyQnI8I8zr_wlBW8gV4AaABAg,j. Qwest,4 days ago,1514765960203,it's..........TURKEY!!!!!!!!!!,0,false,0,,,,,,,/Negative/Hate/,Negative,0.404,Hate,0.254
UgwpjMEw_KrOQJ4G-md4AaABAg,Joanne Nesmith,4 days ago,1514765960206,O,0,false,0,,,,,,,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.427,Empty tweets / Garbage / No sentiments,0.527
UgyH1wjF3JRaNiJS1Fp4AaABAg,Charles Dunn,6 days ago,1514593160209,Turkey,0,false,0,,,,,,,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.429,Empty tweets / Garbage / No sentiments,0.527
UgywshHtxgP2vCIrwll4AaABAg,zZ0mb13 k33p3rz,1 week ago,1514506760212,Are used to watch your videos on ours three,0,false,0,,,,,,,/Neutral/Surprise/,Neutral,0.38,Surprise,0.634
UgxA8i4_g_d9h7ZJGox4AaABAg,zZ0mb13 k33p3rz,1 week ago,1514506760214,Hi,0,false,0,,,,,,,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.835,Empty tweets / Garbage / No sentiments,0.625
UgzY07kCbAUfe46MpBt4AaABAg,Joseph Roxas,1 week ago,1514506760252,Orange,0,false,0,,,,,,,/Neutral/Surprise/,Neutral,0.445,Surprise,0.51
UgyDhOJFRjzuU16dCEJ4AaABAg,Erik Barrera,1 week ago,1514506760255,1:43 I'm dead😲😂😂😂😂😂😂,0,false,0,,,,,,,/Negative/Boredom/,Negative,0.557,Boredom,0.279
UgxErhPJRuykkkVAUOl4AaABAg,bennybarbaric,1 week ago,1514506760258,Žž,0,false,0,,,,,,,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.427,Empty tweets / Garbage / No sentiments,0.552
UgywPaPl-L2qbIvtR7N4AaABAg,Shah Haque,1 week ago,1514506760261,How could a funny channel have G. O. R. E.,0,false,0,,,,,,,/Positive/Fun/,Positive,0.505,Fun,0.337
UgzuwK5o12iVdVzbadN4AaABAg,Gian Vivoni,1 week ago,1514506760264,That was funny,0,false,0,,,,,,,/Positive/Fun/,Positive,0.575,Fun,0.292
UgwliOryaz0qMZUhGlZ4AaABAg,Fidget Master,2 weeks ago,1513901960268,Why was there a jason mask,0,false,0,,,,,,,/Neutral/Surprise/,Neutral,0.469,Surprise,0.715
UgyMVYj8yxstqTa2Fkt4AaABAg,Zac Sibal,2 weeks ago,1513901960271,2017 kills,0,false,0,,,,,,,/Negative/Hate/,Negative,0.631,Hate,0.285
UgzUPILbsVX8grRiSYR4AaABAg,Cup Head,2 weeks ago,1513901960274,"What did the pill said to the other pill? OMG it's a.....




PillGRIM",1,false,0,,,,,,,/Neutral/Surprise/,Neutral,0.542,Surprise,0.831
UgxbUNP3U-HNa83xLhF4AaABAg,Hope Coop,2 weeks ago,1513901962685,ANNOYING ORANGE YOU ARE AMAZING,0,false,0,,,,,,,/Positive/Love/,Positive,0.63,Love,0.367
UgzLBMz2jGLOu0ZD6p14AaABAg,XxSuperProWolfxX,2 weeks ago,1513901962690,Turkey,0,false,0,,,,,,,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.429,Empty tweets / Garbage / No sentiments,0.527
UgwwtnJdj-Xhd6OVonl4AaABAg,Twink Fogg,3 weeks ago,1513297162695,Poor Angel of Death food cake,2,false,0,,,,,,,/Negative/Worry/,Negative,0.795,Worry,0.243
Ugzkx9juVO58-wqYI654AaABAg,Don Ragland,3 weeks ago,1513297162698,. I love your channel is Annoying Orange LOL :-),0,false,0,,,,,,,/Positive/Love/,Positive,0.7,Love,0.438
Ugz54a7SToctZirXn3R4AaABAg,Natural Luxx,3 weeks ago,1513297162702,For shizzle mah drizzle,0,false,0,,,,,,,/Neutral/Surprise/,Neutral,0.364,Surprise,0.542
Ugw0xC_ehdm4PNYvoaB4AaABAg,Natural Luxx,3 weeks ago,1513297162705,Why am I watching this?,0,false,0,,,,,,,/Negative/Worry/,Negative,0.486,Worry,0.241
UgyaBWdbAtXjSEsvSpZ4AaABAg,Tre Best,3 weeks ago,1513297162708,My fave food is mac and cheese,0,false,0,,,,,,,/Negative/Anger/,Negative,0.37,Anger,0.245
